"","id","country","commie","me_nafr","ssafrica","asia","latin","female_vote","female_voteMOD","female_min","female_seats","female_seats95","gender_rights","laborfemaleMOD","closed_list","PR","polity","gdpcap2000","oil","zislam","female_seats_15"
"97","MAR","Morocco",0,1,0,0,0,1963,1963,0.1,10.8,0.600000023841858,3.09999990463257,32.7868766784668,NA,1,-6.45454549789429,1165.40783691406,1.75977540016174,2.05197763442993,0
"98","MDA","Moldova, Rep. of",1,0,0,0,0,1978,1978,0.1,15.8,4.80000019073486,NA,24.3123397827148,NA,1,7.27272748947144,340.741516113281,0,-0.576348066329956,1
"99","MDG","Madagascar",0,0,1,0,0,1959,1959,0.1,6.9,3.70000004768372,NA,44.5786514282227,1,1,7.81818199157715,242.256683349609,0,-0.667399704456329,0
"100","MDV","Maldives",0,0,0,0,0,1932,1932,0.1,12,6.30000019073486,NA,39.9055023193359,0,0,-5.3600001335144,2154.09765625,0,2.06902956962585,0
"101","MEX","Mexico",0,0,0,0,1,1947,1947,0.1,22.6,14.1999998092651,NA,29.8535461425781,1,1,5.63636350631714,5482.94580078125,571.320678710938,-0.716233909130096,1
"102","MKD","Macedonia, TFYR",1,0,0,0,0,1946,1946,0.2,19.2,3.29999995231628,NA,41.7217254638672,1,1,6.54545450210571,1658.10107421875,0,-0.0400613620877266,1
"103","MLI","Mali",0,0,1,0,0,1956,1956,0.2,10.2,2.29999995231628,NA,46.0679359436035,NA,0,6.36363649368286,217.349731445312,0,1.55126976966858,0
"104","MLT","Malta",0,0,0,0,0,1947,1947,0.2,9.2,5.80000019073486,NA,27.0048885345459,0,1,8.14999961853027,8784.080078125,0,-0.71835994720459,0
"105","MMR","Myanmar",0,0,0,1,0,1935,1935,NA,NA,NA,NA,43.4737319946289,NA,NA,-7,NA,12.6022815704346,-0.650760054588318,NA
"106","MNG","Mongolia",1,0,0,1,0,1924,1924,0.1,6.8,7.90000009536743,NA,46.8210220336914,NA,0,9.72727298736572,402.669799804688,44.2565612792969,-0.598389685153961,0
"107","MOZ","Mozambique",0,0,1,0,0,1975,1975,0.1,34.8,25.2000007629395,NA,48.775562286377,NA,1,4.90909099578857,196.059295654297,0.467391699552536,-0.425267964601517,1
